Region Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
District of Columbia,1,2020,1942,275.1686506,705749,1942
West Papua,2,2019,25092,236.3285328,10617423,25092
Riau,1,2019,34171,175.6542157,19453561,34171
Aceh,2,2018,9435,192.4259435,4903185,9435
East Nusa Tenggara,4,2019,13984,157.4386497,8882190,13984
North Sumatra,1,2018,2566,143.5873905,1787065,2566
Java,4,2021,5546,172.9904135,3205958,5546
Maluku,3,2018,1682,118.7960494,1415872,1682
Java,3,2021,1067,184.359984,578759,1067
West Kalimantan,3,2019,2846,158.8039374,1792147,2846
North Sumatra,1,2019,2435,136.2569353,1787065,2435
East Papua,4,2018,9814,190.610704,5148714,9814
District of Columbia,1,2021,3294,466.7381746,705749,3294
West Nusa Tenggara,1,2018,1930,141.9419274,1359711,1930
West Papua,4,2019,770,87.03918685,884659,770
Borneo,2,2020,1189,190.5482308,623989,1189
Central Java,3,2020,31348,244.8681998,12801989,31348
Lampung,2,2020,2378,176.9066189,1344212,2378
North Maluku,1,2019,3756,126.2033588,2976149,3756
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
South East Java,2,2018,19696,168.4988579,11689100,19696
Central Papua,1,2018,1538,145.1818596,1059361,1538
Riau Islands,4,2019,14388,144.0693503,9986857,14388
Borneo,4,2018,830,133.0151653,623989,830
West Sulawesi,1,2022,21909,208.8942079,10488084,21909
Central Papua,2,2019,3698,176.361544,2096829,3698
South West Java,4,2018,4681,118.2975564,3956971,4681
West Kalimantan,4,2021,1822,170.4750659,1068778,1822
Gorontalo,2,2020,10302,182.6714935,5639632,10302
Jakarta,1,2018,56866,264.7671866,21477737,56866
Maluku,1,2020,12332,161.945808,7614893,12332
East Java,2,2018,10673,185.3358098,5758736,10673
Java,3,2021,6702,209.0482782,3205958,6702
Central Sumatra,4,2019,6566,155.6758992,4217737,6566
Bali,1,2021,2665,364.29748,731545,2665
Central Java,4,2021,33282,259.9752273,12801989,33282
Banten,3,2018,14520,199.4857061,7278717,14520
West Nusa Tenggara,1,2019,2161,158.9308316,1359711,2161
South East Java,3,2018,20154,172.4170381,11689100,20154
Central Sulawesi,2,2019,4682,160.7104487,2913314,4682
Central Papua,1,2022,1977,186.6219353,1059361,1977
Bali,3,2019,13530,198.1205926,6829174,13530
Southeast Sulawesi,1,2020,725,95.13661618,762062,725
Yogyakarta,4,2019,2089,214.5283662,973764,2089
Maluku,1,2022,2405,169.8599873,1415872,2405
Sulawesi,4,2019,14408,168.8005146,8535519,14408
West Nusa Tenggara,1,2022,2363,173.7869297,1359711,2363
North Kalimantan,3,2021,16804,243.8011271,6892503,16804
Jakarta,2,2020,66679,310.4563577,21477737,66679
East Java,2,2021,16056,278.8111836,5758736,16056
District of Columbia,4,2018,2062,292.1718628,705749,2062
Jakarta,3,2019,54592,254.179479,21477737,54592
Maluku,1,2020,2009,141.8913574,1415872,2009
Jakarta,3,2018,56998,265.3817765,21477737,56998
Borneo,2,2021,1457,233.4977059,623989,1457
West Sumatra,2,2019,9564,164.2612007,5822434,9564
Banten,1,2022,14821,203.6210502,7278717,14821
East Papua,4,2020,13198,256.335854,5148714,13198
West Sumatra,1,2019,8366,143.6856133,5822434,8366
Central Papua,4,2021,3735,178.1261133,2096829,3735
Gorontalo,4,2021,9218,163.4503812,5639632,9218
Bali,4,2020,18160,265.9179573,6829174,18160
Maluku,2,2019,15513,203.7192118,7614893,15513
East Papua,4,2021,12031,233.6699999,5148714,12031
Central Sumatra,4,2018,6267,148.5867896,4217737,6267
Central Kalimantan,2,2019,2764,142.8860923,1934408,2764
Sumatra,1,2018,54509,187.9887699,28995881,54509
Java,3,2020,1045,180.5587473,578759,1045
South West Java,1,2022,5864,148.1941616,3956971,5864
Gorontalo,1,2019,7678,136.1436349,5639632,7678
Yogyakarta,1,2018,2000,205.3885746,973764,2000
District of Columbia,1,2020,1942,275.1686506,705749,0
Java,2,2019,5078,158.3925928,3205958,5078
South West Java,4,2020,6794,171.6969874,3956971,6794
Sumatra,3,2018,56558,195.0552908,28995881,56558
South East Java,3,2021,29717,254.2282982,11689100,29717
North Maluku,4,2021,5522,185.5417857,2976149,5522
West Sumatra,2,2018,7455,128.0392358,5822434,7455
Bali,1,2018,12037,176.2585051,6829174,12037
South Kalimantan,2,2021,16297,350.5640388,4648794,16297
Java,2,2018,3891,121.3677784,3205958,3891
East Kalimantan,4,2021,7507,168.0293074,4467673,7507
East Papua,2,2019,10049,195.1749505,5148714,10049
Central Papua,2,2019,1590,150.0904791,1059361,1590
Borneo,4,2020,1255,201.1253404,623989,1255
Yogyakarta,3,2020,3183,326.8759165,973764,3183
North Sulawesi,1,2019,3725,118.0639415,3155070,3725
Central Java,2,2019,81249,205.6300401,39512223,81249
Bali,2,2019,1234,168.6840864,731545,1234
North Sumatra,1,2020,2536,141.9086603,1787065,2536
